bpress chol hdis total
1   1   2   53
1   2   0   21
1   3   0   15
1   4   0   20
1   5   0   14
1   6   1   22
1   7   0   11
2   1   0   66
2   2   2   27
2   3   1   25
2   4   8   69
2   5   0   24
2   6   5   22
2   7   1   19
3   1   2   59
3   2   0   34
3   3   2   21
3   4   2   83
3   5   0   33
3   6   2   26
3   7   4   28
4   1   1   65
4   2   0   19
4   3   0   26
4   4   6   81
4   5   3   23
4   6   2   34
4   7   4   23
5   1   2   37
5   2   0   16
5   3   0   6
5   4   3   29
5   5   2   19
5   6   4   16
5   7   1   16
6   1   1   13
6   2   0   10
6   3   0   11
6   4   1   15
6   5   0   11
6   6   2   13
6   7   4   12
7   1   3   21
7   2   0   5
7   3   0   11
7   4   2   27
7   5   2   5
7   6   6   16
7   7   3   14
8   1   1   5
8   2   0   1
8   3   3   6
8   4   1   10
8   5   1   7
8   6   1   7
8   7   1   7
